x,f,model_name,model_type,kernel,bandwidth,u_opt,p_u,location
14.030307371981616,0.011595203110853849,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.043373093115795,0.011595203110853849,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.056438814249974,0.012059011235287995,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.069504535384155,0.012059011235287995,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.082570256518334,0.012059011235287995,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.095635977652513,0.013450435608590458,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.108701698786692,0.01391424373302461,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.121767419920873,0.01391424373302461,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.134833141055053,0.01391424373302461,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.147898862189232,0.014841859981892917,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.16096458332341,0.014841859981892917,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.174030304457592,0.014841859981892917,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.18709602559177,0.01530566810632707,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.20016174672595,0.015769476230761234,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.21322746786013,0.015769476230761234,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.22629318899431,0.015769476230761234,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.23935891012849,0.017160900604063698,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.252424631262668,0.017624708728497845,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.265490352396847,0.018088516852931998,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.278556073531028,0.018088516852931998,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.291621794665208,0.018088516852931998,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.304687515799387,0.018088516852931998,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.317753236933566,0.018088516852931998,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.330818958067747,0.019479941226234455,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.343884679201926,0.020407557475102756,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.356950400336105,0.020407557475102756,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.370016121470284,0.02133517372397106,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.383081842604465,0.02133517372397106,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.396147563738644,0.02133517372397106,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.409213284872823,0.02133517372397106,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.422279006007003,0.021798981848405227,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.435344727141182,0.021798981848405227,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.448410448275363,0.022726598097273523,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.461476169409542,0.022726598097273523,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.47454189054372,0.02319040622170768,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.4876076116779,0.025045638719444287,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.500673332812081,0.025509446843878444,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.51373905394626,0.025509446843878444,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.52680477508044,0.0259732549683126,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
14.539870496214618,0.026437063092746748,KDE-tophat,body,tophat,0.592,20.553397333399005,0.18705357142857143,Alajuela_PRODUCTIVO
