"","X","tipoA","tipoB","varA","varB","copula","par","tau","VaR_A","VaR_B","VaR_S","CVaR_S","VaR_X_95","VaR_Y_95","VaR_Cop_95","CVaR_Cop_95","CVaR_cond_95","VaR_X_99","VaR_Y_99","VaR_Cop_99","CVaR_Cop_99","CVaR_cond_99"
"23",23,"provincias","sectores","Guanacaste","PRODUCTIVO","SC",1.3756723018658,0.407525428669554,1.82706137073464,4.05100933945118,5.70862407994927,8.04789686735947,1.82178825475363,4.01070825127057,5.60624162706074,8.02336311299753,5.01350354155462,2.73145900055214,6.95033593243796,9.47147731017061,12.1836224017244,8.04083948028814
"24",24,"provincias","sectores","Puntarenas","PRODUCTIVO","SC",1.09965435894479,0.354766768033821,2.45779731886826,3.98598825874481,6.08036464317876,8.78607974253165,2.46743645764982,4.01030254897411,6.21625703248056,9.00731693171003,5.0551825277793,3.97964416991916,6.91403026090785,10.5196840787252,14.0584809721965,8.2810160179518
"25",25,"provincias","sectores","San José","PRODUCTIVO","SC",0.835710580546468,0.294709405917376,22.8315540763199,4.05866265108311,26.400746257975,28.6915272888495,22.8313370403754,4.05199346552641,26.6049589118203,28.9574016147723,5.03995721611153,23.6270185909606,7.0049665721899,30.3916382836559,32.978471612661,8.19789972705395
"26",26,"provincias","sectores","Cartago","PRODUCTIVO","SC",0.676595488079347,0.252782122323928,3.53223722242436,4.03309237952971,6.88838059541467,9.59003006339866,3.51669512214381,3.98665984930177,7.17008345548459,9.89898564538697,4.85577461533328,5.13407581596554,6.75327540800915,11.5296255248578,14.507170305301,7.55121719622215
"27",27,"provincias","sectores","Heredia","PRODUCTIVO","C90",-0.344258904992775,-0.146851913096961,2.38713321769312,4.03794305263723,5.05648781930547,6.81492940703123,2.3700790354835,4.00103213344739,6.14553189202746,8.38178989389121,4.85067748536147,3.21145454422768,6.67207771834839,9.65160851703617,12.1383909951159,7.65538361648059
"28",28,"provincias","sectores","Limón","PRODUCTIVO","C270",-0.487000452338208,-0.195818401191019,23.9478958436019,3.9950803959342,26.1270062729377,27.6203882445163,23.9606668111615,4.10578760829094,27.8113852937253,29.9500887839724,5.07810259790776,24.3686247839342,6.90817202143261,31.167126271015,33.5023197591496,7.94468797000407
"29",29,"provincias","sectores","Alajuela","SOCIAL","SC",0.612550034185773,0.234464422181557,3.54973002680051,22.4792735633139,25.4439874565226,27.1487926597581,3.59554622228238,22.5076208835282,25.8470739563271,27.5702272574818,22.5815893303749,5.62238931244404,23.1548802588934,28.5561990817924,30.4043842206853,23.1950810377436
"30",30,"provincias","sectores","Guanacaste","SOCIAL","SC",1.06229774942855,0.34689564384351,1.82521550306522,22.4915314905901,24.1045957244195,25.0598212484886,1.80832565756879,22.4793781446654,24.1275604838843,25.0689896656423,22.5529352809351,2.68493243811884,23.1376235041879,25.6851133337623,26.4784687192623,23.1540866444874
"31",31,"provincias","sectores","Puntarenas","SOCIAL","SC",1.16270758435242,0.367630441114741,2.4731009567331,22.4868287155593,24.7039673891082,26.0480733675076,2.49493880517325,22.4956740926169,24.8094690337269,26.1469500886846,22.6093459036019,3.92970183978217,23.1538249787565,26.9238673470554,28.283590801443,23.2056307357023
"32",32,"provincias","sectores","San José","SOCIAL","SC",1.0273019532651,0.339345717448865,22.8188589228005,22.4706134333145,45.0179649747029,45.9447910395222,22.8407172197586,22.5076592779789,45.1811707531475,46.0918937456001,22.6196960572104,23.6215642069123,23.1970705670222,46.6671632998251,47.3209997981366,23.2415396418471
"33",33,"provincias","sectores","Cartago","SOCIAL","SC",1.07118575094025,0.348785725712718,3.56904337599916,22.502036843165,25.792087580378,27.254921574065,3.54013280339662,22.4771696664011,25.7973527062223,27.2315092225773,22.5702821674837,5.13508481948482,23.1527167550617,28.0483874173867,29.4270192038101,23.17004371589
"34",34,"provincias","sectores","Heredia","SOCIAL","SC",0.482975821297301,0.194514911162106,2.38340361436153,22.4890374082602,24.3628681247387,25.269041487366,2.37836233466221,22.4586910258537,24.659106775277,25.6120742052964,22.5498636231178,3.21688886012565,23.1494754515301,26.2268477808395,26.9846301676665,23.1852561330755
"35",35,"provincias","sectores","Limón","SOCIAL","C270",-0.374999393327545,-0.157894521733812,23.9430397656952,22.4802360494034,45.0590461193565,45.5591138603856,23.9507788191443,22.483517258427,46.2629689801113,46.9437797767638,22.5524096683348,24.3505862514123,23.1218300729032,47.3823662171226,47.7779194021251,23.1703976060536
