x,f,model_name,model_type,kernel,bandwidth,u_opt,p_u,location
14.030307371981616,0.010501231875277668,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.04441100188626,0.010501231875277668,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.058514631790903,0.011712912476271256,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.072618261695547,0.01211680600993578,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.08672189160019,0.01211680600993578,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.100825521504834,0.01211680600993578,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.114929151409479,0.012924593077264832,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.129032781314121,0.012924593077264832,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.143136411218766,0.013328486610929346,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.15724004112341,0.013732380144593881,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.171343671028053,0.013732380144593881,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.185447300932697,0.013732380144593881,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.19955093083734,0.014136273678258407,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.213654560741984,0.01494406074558746,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.227758190646629,0.015751847812916518,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.241861820551271,0.015751847812916518,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.255965450455916,0.015751847812916518,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.27006908036056,0.015751847812916518,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.284172710265203,0.01696352841391008,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.298276340169847,0.017367421947574603,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.31237997007449,0.01777131548123914,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.326483599979134,0.01817520901490366,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.340587229883779,0.01857910254856818,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.354690859788422,0.01857910254856818,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.368794489693066,0.01857910254856818,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
14.382898119597709,0.018982996082232712,KDE-tophat,body,tophat,0.63,21.07443210054949,0.12276785714285714,Cartago_INFRAESTRUCTURA
