Pareto_param1,Pareto_param2,iteration,model_name,model_type,u_opt,p_u,location
1.0,0.4048315268416758,0,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.0,0.4048315268416758,1,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.0,0.4048315268416758,2,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.0560048229365155,0.4845980803166147,3,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.0560048229365155,0.4845980803166147,4,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.0560048229365155,0.4845980803166147,5,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.0560048229365155,0.4845980803166147,6,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.1610655312578009,0.37372138821603074,7,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.1610655312578009,0.37372138821603074,8,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.1610655312578009,0.37372138821603074,9,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.1012227755631145,0.18550214244501617,10,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.2349778489930878,0.37890280795394227,11,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.2349778489930878,0.37890280795394227,12,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.2349778489930878,0.37890280795394227,13,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.2349778489930878,0.37890280795394227,14,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.4445827910654623,0.41358427349938687,15,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.3926883727390749,0.3291234638676184,16,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.3222069722011465,0.27689810914118196,17,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.435850557077167,0.3781881948218362,18,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.435850557077167,0.3781881948218362,19,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.435850557077167,0.3781881948218362,20,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.4188851238732947,0.48352472954242276,21,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.5335726876928277,0.3219876500038167,22,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.3051492489294316,0.4363205700934342,23,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.4525476128219104,0.3171869380884641,24,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.2501066595368309,0.5894453416816476,25,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.3674796799276714,0.6050404782930345,26,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.6902839798304736,0.9166943154334983,27,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.6902839798304736,0.9166943154334983,28,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.647073527607123,0.6063788991766144,29,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.5178138143494713,0.31170070547002504,30,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.6714981968085032,0.5058577506217655,31,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.8002119166097872,0.6232721834160698,32,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.9438881901483747,0.5830523154081586,33,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.421865207709001,0.7920004776670555,34,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.0513758174044865,0.729710924795807,35,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.6985654266532118,0.9006507093770602,36,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.8955178714095695,0.7504855414165142,37,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.1324565409488634,0.7538698683948498,38,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.145611813975906,0.5955927017084488,39,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.145611813975906,0.5955927017084488,40,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.145611813975906,0.5955927017084488,41,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.36354822303989,0.6480186036961458,42,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.4141978998659157,0.6362863441674832,43,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.1645556525249097,0.49305387353587776,44,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
2.074774420115475,0.5904671724570941,45,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
1.9573135975962117,0.5996441505334381,46,Pareto,tail,23.375728742320703,0.006696428571428571,Limón_PRODUCTIVO
