Weibull_param1,Weibull_param2,iteration,model_name,model_type,u_opt,p_u,location
1.0,18.75715298057358,0,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.0236859772754663,18.611601358006023,1,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.0236859772754663,18.611601358006023,2,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.3102009579620553,18.35850333206958,3,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.3102009579620553,18.35850333206958,4,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.3248477863773496,18.39628136276278,5,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.4470080297388588,18.43921135850793,6,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.4470080297388588,18.43921135850793,7,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.6555963371212958,18.518035613325907,8,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.6555963371212958,18.518035613325907,9,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.700053764530164,18.314973224945877,10,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.700053764530164,18.314973224945877,11,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
1.7841313517458046,18.013319242735122,12,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.016966205434517,18.087093545537243,13,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.179994058522231,18.172576706629812,14,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.1982905664704653,18.171816830317596,15,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.2942303600065466,18.0375259025949,16,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.2942303600065466,18.0375259025949,17,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.2942303600065466,18.0375259025949,18,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.2942303600065466,18.0375259025949,19,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.4484741100656313,18.327034067413035,20,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.4484741100656313,18.327034067413035,21,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.564806168944366,18.319741272471887,22,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.766813308632008,17.899504355855626,23,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.766813308632008,17.899504355855626,24,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.8867676170565995,17.978373551108124,25,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.8867676170565995,17.978373551108124,26,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.8867676170565995,17.978373551108124,27,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.94045307000826,17.915939639883156,28,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.94045307000826,17.915939639883156,29,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.94045307000826,17.915939639883156,30,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
2.94045307000826,17.915939639883156,31,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.09921034772465,17.871426291881072,32,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.121347111017257,18.02596934369313,33,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.121347111017257,18.02596934369313,34,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.217976411797846,18.05778651339005,35,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.6086217986814835,18.32391775202217,36,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.6356051243445093,18.587886746424253,37,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.8123839485303836,18.796181642930367,38,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.8184567050064318,18.975142247488016,39,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.8184567050064318,18.975142247488016,40,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.929293676552019,19.29649534627857,41,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
3.929293676552019,19.29649534627857,42,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.0815613497532,19.348263372201934,43,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.0815613497532,19.348263372201934,44,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.0815613497532,19.348263372201934,45,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.206883443942125,19.427177008394736,46,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.351347794791039,19.573178757960893,47,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.450236411622518,19.501903397393583,48,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.450236411622518,19.501903397393583,49,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.450236411622518,19.501903397393583,50,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.450236411622518,19.501903397393583,51,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
4.575550164079536,19.54438206499818,52,Weibull,body,21.524933284093084,0.07659372026641294,Hidrometereológico
