Gamma_param1,Gamma_param2,iteration,model_name,model_type,u_opt,p_u,location
2.0,0.5,0,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.0,0.5,1,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.661242167355454,0.011626670873409184,2,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,3,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,4,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,5,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,6,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,7,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,8,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,9,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,10,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,11,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4333293637404703,0.0650259098588594,12,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4954665560274771,0.09634819891987378,13,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4954665560274771,0.09634819891987378,14,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4954665560274771,0.09634819891987378,15,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4954665560274771,0.09634819891987378,16,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4954665560274771,0.09634819891987378,17,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4954665560274771,0.09634819891987378,18,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
1.4954665560274771,0.09634819891987378,19,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,20,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,21,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,22,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,23,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,24,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,25,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,26,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,27,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,28,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
2.1478393812328145,0.13838835766792884,29,Gamma,body,19.855326498474106,0.18181818181818182,PRODUCTIVO
