Weibull_param1,Weibull_param2,iteration,model_name,model_type,u_opt,p_u,location
1.0,18.58222435998655,0,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.0236859772754663,18.436672737418995,1,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.0236859772754663,18.436672737418995,2,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.3102009579620553,18.183574711482553,3,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.3102009579620553,18.183574711482553,4,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.3248477863773496,18.221352742175753,5,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.4470080297388588,18.2642827379209,6,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.4470080297388588,18.2642827379209,7,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.6555963371212958,18.34310699273888,8,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.6555963371212958,18.34310699273888,9,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.700053764530164,18.14004460435885,10,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.700053764530164,18.14004460435885,11,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
1.7841313517458046,17.838390622148093,12,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.016966205434517,17.912164924950215,13,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.179994058522231,17.997648086042783,14,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.1982905664704653,17.996888209730567,15,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.2942303600065466,17.862597282007872,16,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.2942303600065466,17.862597282007872,17,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.2942303600065466,17.862597282007872,18,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.2942303600065466,17.862597282007872,19,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.4484741100656313,18.152105446826006,20,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.4484741100656313,18.152105446826006,21,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.564806168944366,18.14481265188486,22,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.766813308632008,17.724575735268598,23,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.766813308632008,17.724575735268598,24,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.8867676170565995,17.803444930521096,25,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.8867676170565995,17.803444930521096,26,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.8867676170565995,17.803444930521096,27,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.94045307000826,17.741011019296128,28,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.94045307000826,17.741011019296128,29,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.94045307000826,17.741011019296128,30,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
2.94045307000826,17.741011019296128,31,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.09921034772465,17.696497671294043,32,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.121347111017257,17.851040723106102,33,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.121347111017257,17.851040723106102,34,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.217976411797846,17.88285789280302,35,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.6086217986814835,18.14898913143514,36,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.6356051243445093,18.412958125837225,37,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.8123839485303836,18.62125302234334,38,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.8184567050064318,18.800213626900987,39,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.8184567050064318,18.800213626900987,40,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
3.929293676552019,19.12156672569154,41,Weibull,body,21.001669221596252,0.1299107142857143,Heredia_HÍDRICO_Hidrometereológico
